article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
softcite_data/step1_txt/pmc/PMC5238813-1/text.txt.gz,109031,PMC5238813-1,82d0dbebdc92b3fe88e4a8d76971f44357e101fc252efa571157c6ac4025aae5,4020,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,944627f5-371a-4ca6-954d-fe8e319be936,Adjudicator cfdu@utexas.edu task 1085 article number 109031,True,f204e7dd-6121-4018-90d3-a59a1d7ba5ea,f48c8908-162f-41c7-a2be-d54c3db05b7c,HL_Softcite_SoftwareMentions_v2,Software Mention,1,,{},1,2846,2852,Monmlp
softcite_data/step1_txt/pmc/PMC5238813-1/text.txt.gz,109031,PMC5238813-1,82d0dbebdc92b3fe88e4a8d76971f44357e101fc252efa571157c6ac4025aae5,4020,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,944627f5-371a-4ca6-954d-fe8e319be936,Adjudicator cfdu@utexas.edu task 1085 article number 109031,True,f204e7dd-6121-4018-90d3-a59a1d7ba5ea,45c776dc-7477-47e6-a3e7-382a951511aa,HL_Softcite_SoftwareMentions_v2,Software Mention,2,,{},1,2885,2886,R
softcite_data/step1_txt/pmc/PMC5238813-1/text.txt.gz,109031,PMC5238813-1,82d0dbebdc92b3fe88e4a8d76971f44357e101fc252efa571157c6ac4025aae5,4020,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,944627f5-371a-4ca6-954d-fe8e319be936,Adjudicator cfdu@utexas.edu task 1085 article number 109031,True,f204e7dd-6121-4018-90d3-a59a1d7ba5ea,fe429239-4f56-448b-a7c6-1e756dddc251,HL_Softcite_SoftwareMentions_v2,Software Mention,3,,{},1,3213,3219,Monmlp
softcite_data/step1_txt/pmc/PMC5238813-1/text.txt.gz,109031,PMC5238813-1,82d0dbebdc92b3fe88e4a8d76971f44357e101fc252efa571157c6ac4025aae5,4020,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,944627f5-371a-4ca6-954d-fe8e319be936,Adjudicator cfdu@utexas.edu task 1085 article number 109031,True,f204e7dd-6121-4018-90d3-a59a1d7ba5ea,8a21f55d-ec4b-4754-b6a0-5eeb12b66f0d,HL_Softcite_SoftwareMentions_v2,Software Mention,4,,{},1,3332,3338,monmlp
softcite_data/step1_txt/pmc/PMC5210341-1/text.txt.gz,108886,PMC5210341-1,f67926ffd8dd40b3a92b491dd53a70b92dcb80b92532a98e90f7680d6e2dd22d,3758,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,c33275c0-2cb9-4b77-ba0a-d92f3ec5a99e,Adjudicator cfdu@utexas.edu task 1084 article number 108886,True,d4aae9ad-1920-479b-82ba-ddb08ba02e70,412626a6-f138-40e7-90f6-1ea1cac23110,HL_Softcite_SoftwareMentions_v2,Software Mention,1,,{},1,1523,1528,Stata
softcite_data/step1_txt/pmc/PMC1636350-6/text.txt.gz,100038,PMC1636350-6,eeb6e9b1b410daa62ef9a56e213caa9fde52d29d5ada9fc02d2edcd5ac8a32fb,3603,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,e5c38f37-c9a6-463a-8829-f4f79fd6123b,Adjudicator jcsick@gmail.com task 1054 article number 100038,True,a20b7f3a-3b3f-4b6b-bbba-32c5bb3235d9,9c2d4a90-5d22-4bf5-9281-f43d7c5c9b7f,HL_Softcite_SoftwareMentions_v2,Software Mention,1,,{},1,128,135,MUMMALS
softcite_data/step1_txt/pmc/PMC1636350-6/text.txt.gz,100038,PMC1636350-6,eeb6e9b1b410daa62ef9a56e213caa9fde52d29d5ada9fc02d2edcd5ac8a32fb,3603,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,e5c38f37-c9a6-463a-8829-f4f79fd6123b,Adjudicator jcsick@gmail.com task 1054 article number 100038,True,a20b7f3a-3b3f-4b6b-bbba-32c5bb3235d9,52be79b2-ff6d-4641-8fc0-6f0284f74025,HL_Softcite_SoftwareMentions_v2,Software Mention,2,,{},1,222,229,MUMMALS
softcite_data/step1_txt/pmc/PMC1636350-6/text.txt.gz,100038,PMC1636350-6,eeb6e9b1b410daa62ef9a56e213caa9fde52d29d5ada9fc02d2edcd5ac8a32fb,3603,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,e5c38f37-c9a6-463a-8829-f4f79fd6123b,Adjudicator jcsick@gmail.com task 1054 article number 100038,True,a20b7f3a-3b3f-4b6b-bbba-32c5bb3235d9,ca257ff7-8a9e-47f0-a2dc-da3c6a0444a9,HL_Softcite_SoftwareMentions_v2,Software Mention,3,,{},1,278,286,ProbCons
softcite_data/step1_txt/pmc/PMC1636350-6/text.txt.gz,100038,PMC1636350-6,eeb6e9b1b410daa62ef9a56e213caa9fde52d29d5ada9fc02d2edcd5ac8a32fb,3603,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,e5c38f37-c9a6-463a-8829-f4f79fd6123b,Adjudicator jcsick@gmail.com task 1054 article number 100038,True,a20b7f3a-3b3f-4b6b-bbba-32c5bb3235d9,2c832faa-95d2-4b11-9daa-28d3faed11d6,HL_Softcite_SoftwareMentions_v2,Software Mention,4,,{},1,293,298,MAFFT
softcite_data/step1_txt/pmc/PMC1636350-6/text.txt.gz,100038,PMC1636350-6,eeb6e9b1b410daa62ef9a56e213caa9fde52d29d5ada9fc02d2edcd5ac8a32fb,3603,e15db246-b64e-402e-a9b1-9fbc1040a2df,Qualification_SoftwareMention_I.adjudicated,e5c38f37-c9a6-463a-8829-f4f79fd6123b,Adjudicator jcsick@gmail.com task 1054 article number 100038,True,a20b7f3a-3b3f-4b6b-bbba-32c5bb3235d9,d524025c-99c9-449d-9add-e60ce4825e5d,HL_Softcite_SoftwareMentions_v2,Software Mention,5,,{},1,305,311,MUSCLE
